Population,Probability
1,0
2,0.273973
3,0.82041
4,1.63558
5,2.71355
6,4.04624
7,5.62356
8,7.43352
9,9.46237
10,11.6948
11,14.1141
12,16.7025
13,19.441
14,22.3102
15,25.2901
16,28.3604
17,31.5008
18,34.6911
19,37.9118
20,41.1438
21,44.3688
22,47.5695
23,50.7297
24,53.8344
25,56.87
26,59.8241
27,62.6859
28,65.4461
29,68.0969
30,70.6316
31,73.0455
32,75.3348
33,77.4972
34,79.5317
35,81.4383
36,83.2182
37,84.8734
38,86.4068
39,87.822
40,89.1232
41,90.3152
42,91.403
43,92.3923
44,93.2885
45,94.0976
46,94.8253
47,95.4774
48,96.0598
49,96.578
50,97.0374
51,97.4432
52,97.8005
53,98.1138
54,98.3877
55,98.6262
56,98.8332
57,99.0122
58,99.1665
59,99.2989
60,99.4123
61,99.5089
62,99.591
63,99.6604
64,99.719
65,99.7683
66,99.8096
67,99.844
68,99.8726
69,99.8964
70,99.916
71,99.9321
72,99.9453
73,99.9561
74,99.9649
75,99.972
76,99.9777
77,99.9824
78,99.9861
79,99.9891
80,99.9914
81,99.9933
82,99.9948
83,99.996
84,99.9969
85,99.9976
86,99.9982
87,99.9986
88,99.9989
89,99.9992
90,99.9994
91,99.9995
92,99.9997
93,99.9997
94,99.9998
95,99.9999
96,99.9999
97,99.9999
98,99.9999
99,100
100,100
101,100
102,100
103,100
104,100
105,100
106,100
107,100
108,100
109,100
110,100
111,100
112,100
113,100
114,100
115,100
116,100
117,100
118,100
119,100
120,100
121,100
122,100
123,100
124,100
125,100
126,100
127,100
128,100
129,100
130,100
131,100
132,100
133,100
134,100
135,100
136,100
137,100
138,100
139,100
140,100
141,100
142,100
143,100
144,100
145,100
146,100
147,100
148,100
149,100
150,100
151,100
152,100
153,100
154,100
155,100
156,100
157,100
158,100
159,100
160,100
161,100
162,100
163,100
164,100
165,100
166,100
167,100
168,100
169,100
170,100
171,100
172,100
173,100
174,100
175,100
176,100
177,100
178,100
179,100
180,100
181,100
182,100
183,100
184,100
185,100
186,100
187,100
188,100
189,100
190,100
191,100
192,100
193,100
194,100
195,100
196,100
197,100
198,100
199,100
200,100
201,100
202,100
203,100
204,100
205,100
206,100
207,100
208,100
209,100
210,100
211,100
212,100
213,100
214,100
215,100
216,100
217,100
218,100
219,100
220,100
221,100
222,100
223,100
224,100
225,100
226,100
227,100
228,100
229,100
230,100
231,100
232,100
233,100
234,100
235,100
236,100
237,100
238,100
239,100
240,100
241,100
242,100
243,100
244,100
245,100
246,100
247,100
248,100
249,100
250,100
251,100
252,100
253,100
254,100
255,100
256,100
257,100
258,100
259,100
260,100
261,100
262,100
263,100
264,100
265,100
266,100
267,100
268,100
269,100
270,100
271,100
272,100
273,100
274,100
275,100
276,100
277,100
278,100
279,100
280,100
281,100
282,100
283,100
284,100
285,100
286,100
287,100
288,100
289,100
290,100
291,100
292,100
293,100
294,100
295,100
296,100
297,100
298,100
299,100
300,100
301,100
302,100
303,100
304,100
305,100
306,100
307,100
308,100
309,100
310,100
311,100
312,100
313,100
314,100
315,100
316,100
317,100
318,100
319,100
320,100
321,100
322,100
323,100
324,100
325,100
326,100
327,100
328,100
329,100
330,100
331,100
332,100
333,100
334,100
335,100
336,100
337,100
338,100
339,100
340,100
341,100
342,100
343,100
344,100
345,100
346,100
347,100
348,100
349,100
350,100
351,100
352,100
353,100
354,100
355,100
356,100
357,100
358,100
359,100
360,100
361,100
362,100
363,100
364,100
365,100
